Name,Overall,Value
 L. Suárez,92,€97M
 R. Nainggolan,86,€42.5M
 A. Florenzi,82,€21M
 D. Alaba,85,€38.5M
 P. Pogba,88,€76M
 G. Bale,88,€62M
 A. Vidal,86,€33M
 K. De Bruyne,91,€104.5M
 Jordi Alba,87,€40M
 A. Kolarov,81,€11.5M
 L. Modrić,89,€57M
 Cristiano Ronaldo,94,€95.5M
 Paulinho,83,€25.5M
 Alex Telles,82,€24M
 L. Goretzka,83,€34M
 Marcelo,87,€38M
 Ander Herrera,83,€26.5M
 Alex Sandro,86,€42.5M
 M. Dembélé,84,€30M
 Dani Alves,83,€7.5M
 G. Bonaventura,82,€23M
 C. Tolisso,82,€30.5M
 Fernandinho,85,€22M
 B. Matuidi,85,€28.5M
 A. Sánchez,88,€60M
 Z. Junuzović,79,€12M
 João Moutinho,82,€20.5M
 A. Valencia,83,€17M
 M. Pjanić,86,€45.5M
 T. Kroos,90,€79M
 Thiago,88,€68.5M
 K. Boateng,81,€16.5M
 L. Baines,80,€8M
 M. Hamšík,87,€48.5M
 R. Rodríguez,80,€15.5M
 M. Sanson,81,€24M
 Pizzi,83,€26.5M
 K. Walker,84,€25.5M
 J. Seri,82,€23.5M
 Fred,81,€23.5M
 C. Marchisio,84,€26.5M
 J. Kimmich,84,€33.5M
 T. Lemar,83,€35.5M
 K. Asamoah,79,€10M
 C. Erkin,75,€5.5M
 R. Guerreiro,80,€16.5M
 J. Henderson,81,€17.5M
 Marcos Alonso,82,€21M
 J. Kucka,79,€11.5M
 G. Wijnaldum,82,€25.5M
 N. Kanté,88,€59.5M
 Roberto Firmino,85,€48M
 L. Messi,94,€118.5M
 Manuel Fernandes,81,€15.5M
 Casemiro,86,€47M
 T. Meunier,81,€18.5M
 L. Stindl,81,€18.5M
 Adrien Silva,82,€22M
 M. Verratti,87,€63M
 S. Khedira,84,€29M
 Adriano,78,€5.5M
 S. Milinković-Savić,83,€35M
 Sergio Ramos,90,€52M
 A. Griezmann,88,€71M
 Filipe Luís,86,€29M
 P. Hetemaj,77,€8M
 R. Lewandowski,91,€92M
 W. Cyprien,78,€14.5M
 M. Parolo,81,€13.5M
 Saúl,84,€43M
 A. Rabiot,82,€28.5M
 D. Wass,81,€17.5M
 Koke,85,€47.5M
 N. Matić,85,€31M
 Raúl García,80,€14M
 J. Cuadrado,83,€25.5M
 S. Defour,79,€12M
 L. Piszczek,83,€14.5M
 E. Can,80,€19.5M
 K. Strootman,83,€26.5M
 O. Özyakup,80,€19.5M
 M. Reus,85,€39M
 Antunes,79,€9M
 Jorginho,82,€27.5M
 I. Gündoğan,85,€44.5M
 F. Delph,79,€10.5M
 J. Milner,80,€12.5M
 Y. Belhanda,81,€18.5M
 A. Young,79,€8M
 M. Salah,87,€63M
 H. Mkhitaryan,84,€31.5M
 Manu Trigueros,82,€27.5M
 T. Delaney,78,€13M
 Danilo,79,€12.5M
 G. Castro,80,€13.5M
 M. Sissoko,77,€9.5M
 S. Sessègnon,77,€5.5M
 S. Lulić,79,€11M
 R. Vormer,78,€10M
 A. Dzagoev,80,€15M
 I. Perišić,85,€39M
 Fabinho,84,€35.5M
 Gazzolisco,77,€6.5M
 V. Moses,80,€14M
 I. Rakitić,86,€42.5M
 S. Aurier,81,€18.5M
 D. Alli,84,€42.5M
 D. Caligiuri,80,€14.5M
 S. Umtiti,84,€36.5M
 Parejo,84,€31M
 A. Lallana,82,€21.5M
 Azpilicueta,86,€43.5M
 A. Guardado,81,€16.5M
 E. Hazard,91,€95.5M
 C. Aránguiz,80,€14.5M
 C. Fuchs,76,€5M
 Allan,81,€20.5M
 H. Kane,88,€76.5M
 B. Ndiaye,76,€9M
 Isco,86,€55M
 D. Criscito,81,€13M
 A. Ramsey,83,€30M
 W. Rooney,80,€13.5M
 L. Kurzawa,79,€13M
 S. Sturaro,76,€10M
 S. Rudy,81,€18M
