Name,Overall,Value
 L. Suárez,92,97000000
 R. Nainggolan,86,42000000
 A. Florenzi,82,21000000
 D. Alaba,85,38000000
 P. Pogba,88,76000000
 G. Bale,88,62000000
 A. Vidal,86,33000000
 K. De Bruyne,91,104000000
 Jordi Alba,87,40000000
 A. Kolarov,81,11000000
 L. Modrić,89,57000000
 Cristiano Ronaldo,94,95000000
 Paulinho,83,25000000
 Alex Telles,82,24000000
 L. Goretzka,83,34000000
 Marcelo,87,38000000
 Ander Herrera,83,26000000
 Alex Sandro,86,42000000
 M. Dembélé,84,30000000
 Dani Alves,83,7000000
 G. Bonaventura,82,23000000
 C. Tolisso,82,30000000
 Fernandinho,85,22000000
 B. Matuidi,85,28000000
 A. Sánchez,88,60000000
 Z. Junuzović,79,12000000
 João Moutinho,82,20000000
 A. Valencia,83,17000000
 M. Pjanić,86,45000000
 T. Kroos,90,79000000
 Thiago,88,68000000
 K. Boateng,81,16000000
 L. Baines,80,8000000
 M. Hamšík,87,48000000
 R. Rodríguez,80,15000000
 M. Sanson,81,24000000
 Pizzi,83,26000000
 K. Walker,84,25000000
 J. Seri,82,23000000
 Fred,81,23000000
 C. Marchisio,84,26000000
 J. Kimmich,84,33000000
 T. Lemar,83,35000000
 K. Asamoah,79,10000000
 C. Erkin,75,5000000
 R. Guerreiro,80,16000000
 J. Henderson,81,17000000
 Marcos Alonso,82,21000000
 J. Kucka,79,11000000
 G. Wijnaldum,82,25000000
 N. Kanté,88,59000000
 Roberto Firmino,85,48000000
 L. Messi,94,118000000
 Manuel Fernandes,81,15000000
 Casemiro,86,47000000
 T. Meunier,81,18000000
 L. Stindl,81,18000000
 Adrien Silva,82,22000000
 M. Verratti,87,63000000
 S. Khedira,84,29000000
 Adriano,78,5000000
 S. Milinković-Savić,83,35000000
 Sergio Ramos,90,52000000
 A. Griezmann,88,71000000
 Filipe Luís,86,29000000
 P. Hetemaj,77,8000000
 R. Lewandowski,91,92000000
 W. Cyprien,78,14000000
 M. Parolo,81,13000000
 Saúl,84,43000000
 A. Rabiot,82,28000000
 D. Wass,81,17000000
 Koke,85,47000000
 N. Matić,85,31000000
 Raúl García,80,14000000
 J. Cuadrado,83,25000000
 S. Defour,79,12000000
 L. Piszczek,83,14000000
 E. Can,80,19000000
 K. Strootman,83,26000000
 O. Özyakup,80,19000000
 M. Reus,85,39000000
 Antunes,79,9000000
 Jorginho,82,27000000
 I. Gündoğan,85,44000000
 F. Delph,79,10000000
 J. Milner,80,12000000
 Y. Belhanda,81,18000000
 A. Young,79,8000000
 M. Salah,87,63000000
 H. Mkhitaryan,84,31000000
 Manu Trigueros,82,27000000
 T. Delaney,78,13000000
 Danilo,79,12000000
 G. Castro,80,13000000
 M. Sissoko,77,9000000
 S. Sessègnon,77,5000000
 S. Lulić,79,11000000
 R. Vormer,78,10000000
 A. Dzagoev,80,15000000
 I. Perišić,85,39000000
 Fabinho,84,35000000
 Gazzolisco,77,6000000
 V. Moses,80,14000000
 I. Rakitić,86,42000000
 S. Aurier,81,18000000
 D. Alli,84,42000000
 D. Caligiuri,80,14000000
 S. Umtiti,84,36000000
 Parejo,84,31000000
 A. Lallana,82,21000000
 Azpilicueta,86,43000000
 A. Guardado,81,16000000
 E. Hazard,91,95000000
 C. Aránguiz,80,14000000
 C. Fuchs,76,5000000
 Allan,81,20000000
 H. Kane,88,76000000
 B. Ndiaye,76,9000000
 Isco,86,55000000
 D. Criscito,81,13000000
 A. Ramsey,83,30000000
 W. Rooney,80,13000000
 L. Kurzawa,79,13000000
 S. Sturaro,76,10000000
 S. Rudy,81,18000000
 L. Biglia,82,15000000
 Gabi,81,10000000
 David Luiz,84,23000000
 Y. Rakitskyi,80,14000000
 T. Vilhena,77,11000000
 L. Paredes,80,19000000
 Eliseu,76,3000000
 X. Shaqiri,82,26000000
 E. Cavani,88,57000000
 G. Sigurðsson,81,18000000
 D. Rose,81,15000000
 Bruno César,76,8000000
 Thiago Silva,87,29000000
 J. Wilshere,81,21000000
 B. Schweinsteiger,80,11000000
 Maurício,76,6000000
 Neymar,92,119000000
 M. Mandžukić,83,23000000
 J. Holebas,77,3000000
 E. Banega,83,25000000
 F. Belluschi,80,9000000
 Rafael,78,9000000
 D. Glushakov,77,6000000
 D. De Rossi,83,10000000
 Mariano,79,8000000
 M. Brozović,80,18000000
 Rúben Neves,78,13000000
 V. Darida,79,14000000
 R. Soriano,78,11000000
 J. Draxler,84,39000000
 Miguel Veloso,77,6000000
 Beñat,81,16000000
 A. Di María,84,30000000
