Start,End,Name,Party
03/04/1913,03/04/1921,Woodrow Wilson,Democratic
03/04/1921,08/02/1923,Warren Harding,Republican
08/02/1923,03/04/1929,Calvin Coolidge,Republican
03/04/1929,03/04/1933,Herbert Hoover,Republican
03/04/1933,04/12/1945,Franklin Roosevelt,Democratic
04/12/1945,01/20/1953,Harry Truman,Democratic
01/20/1953,01/20/1961,Dwight Eisenhower,Republican
01/20/1961,11/22/1963,John Kennedy,Democratic
11/22/1963,01/20/1969,Lyndon Johnson,Democratic
01/20/1969,08/09/1974,Richard Nixon,Republican
08/09/1974,01/20/1977,Gerald Ford,Republican
01/20/1977,01/20/1981,Jimmy Carter,Democratic
01/20/1981,01/20/1989,Ronald Reagan,Republican
01/20/1989,01/20/1993,George Bush Snr.,Republican
01/20/1993,01/20/2001,Bill Clinton,Democratic
01/20/2001,01/20/2009,George Bush Jnr.,Republican
01/20/2009,01/20/2017,Barack Obama,Democratic
01/20/2017,11/24/2020,Donald Trump,Republican
