Overall,Value
92,97000000
86,42000000
82,21000000
85,38000000
88,76000000
88,62000000
86,33000000
91,104000000
87,40000000
81,11000000
89,57000000
94,95000000
83,25000000
82,24000000
83,34000000
87,38000000
83,26000000
86,42000000
84,30000000
83,7000000
82,23000000
82,30000000
85,22000000
85,28000000
88,60000000
79,12000000
82,20000000
83,17000000
86,45000000
90,79000000
88,68000000
81,16000000
80,8000000
87,48000000
80,15000000
81,24000000
83,26000000
84,25000000
82,23000000
81,23000000
84,26000000
84,33000000
83,35000000
79,10000000
75,5000000
80,16000000
81,17000000
82,21000000
79,11000000
82,25000000
88,59000000
85,48000000
94,118000000
81,15000000
86,47000000
81,18000000
81,18000000
82,22000000
87,63000000
84,29000000
78,5000000
83,35000000
90,52000000
88,71000000
86,29000000
77,8000000
91,92000000
78,14000000
81,13000000
84,43000000
82,28000000
81,17000000
85,47000000
85,31000000
80,14000000
83,25000000
79,12000000
83,14000000
80,19000000
83,26000000
80,19000000
85,39000000
79,9000000
82,27000000
85,44000000
79,10000000
80,12000000
81,18000000
79,8000000
87,63000000
84,31000000
82,27000000
78,13000000
79,12000000
80,13000000
77,9000000
77,5000000
79,11000000
78,10000000
80,15000000
85,39000000
84,35000000
77,6000000
80,14000000
86,42000000
81,18000000
84,42000000
80,14000000
84,36000000
84,31000000
82,21000000
86,43000000
81,16000000
91,95000000
80,14000000
76,5000000
81,20000000
88,76000000
76,9000000
86,55000000
81,13000000
83,30000000
80,13000000
79,13000000
76,10000000
81,18000000
82,15000000
81,10000000
84,23000000
80,14000000
77,11000000
80,19000000
76,3000000
82,26000000
88,57000000
81,18000000
81,15000000
76,8000000
87,29000000
81,21000000
80,11000000
76,6000000
92,119000000
83,23000000
77,3000000
83,25000000
80,9000000
78,9000000
77,6000000
83,10000000
79,8000000
80,18000000
78,13000000
79,14000000
78,11000000
84,39000000
77,6000000
81,16000000
84,30000000
80,11000000
79,20000000
80,17000000
78,10000000
82,23000000
82,16000000
75,5000000
81,18000000
79,17000000
77,7000000
79,15000000
80,14000000
81,23000000
88,74000000
81,18000000
78,11000000
78,13000000
73,2000000
77,9000000
86,33000000
78,9000000
89,66000000
81,15000000
82,30000000
77,8000000
78,12000000
89,89000000
77,10000000
81,18000000
79,13000000
80,14000000
78,13000000
76,8000000
79,12000000
81,18000000
85,35000000
80,18000000
86,47000000
77,7000000
80,14000000
78,10000000
75,9000000
77,9000000
76,9000000
75,7000000
84,40000000
82,30000000
77,11000000
82,21000000
80,7000000
76,9000000
76,7000000
79,15000000
78,10000000
76,6000000
76,7000000
87,63000000
79,14000000
80,17000000
81,22000000
78,11000000
80,15000000
74,10000000
77,11000000
77,8000000
76,3000000
83,36000000
77,9000000
73,1000000
87,30000000
82,12000000
80,19000000
75,8000000
78,8000000
77,11000000
75,2000000
80,12000000
77,12000000
77,10000000
73,3000000
76,7000000
78,10000000
73,3000000
80,11000000
75,9000000
79,14000000
75,6000000
79,13000000
76,8000000
75,6000000
74,6000000
78,10000000
76,6000000
79,10000000
77,10000000
77,6000000
81,14000000
75,5000000
77,12000000
80,16000000
72,2000000
77,8000000
81,17000000
83,29000000
79,16000000
75,7000000
77,8000000
78,8000000
87,52000000
78,10000000
83,33000000
83,25000000
75,7000000
90,62000000
73,3000000
79,15000000
77,10000000
77,6000000
82,17000000
78,10000000
77,4000000
78,8000000
85,54000000
80,4000000
80,15000000
79,16000000
77,9000000
76,10000000
79,4000000
80,13000000
73,3000000
78,10000000
76,10000000
80,19000000
78,10000000
77,6000000
84,31000000
77,9000000
81,22000000
87,29000000
78,11000000
82,21000000
78,12000000
76,6000000
77,8000000
81,19000000
79,10000000
81,26000000
77,10000000
77,6000000
80,19000000
84,39000000
76,9000000
74,6000000
77,11000000
80,17000000
80,12000000
84,37000000
77,9000000
75,2000000
82,21000000
77,9000000
76,8000000
78,14000000
76,7000000
75,6000000
72,2000000
79,14000000
77,10000000
84,30000000
76,8000000
70,2000000
82,22000000
79,10000000
77,8000000
75,6000000
75,5000000
84,37000000
78,16000000
87,48000000
74,1000000
81,17000000
80,17000000
77,11000000
81,22000000
81,14000000
75,3000000
77,12000000
75,7000000
82,27000000
74,5000000
80,6000000
75,5000000
76,6000000
74,6000000
78,8000000
80,5000000
78,10000000
74,5000000
78,12000000
76,5000000
87,41000000
77,11000000
80,12000000
83,34000000
77,12000000
75,8000000
79,10000000
74,6000000
81,22000000
77,9000000
73,3000000
83,21000000
75,4000000
78,12000000
82,26000000
74,7000000
78,10000000
78,8000000
76,7000000
80,16000000
79,9000000
79,10000000
81,18000000
85,35000000
84,32000000
77,4000000
81,20000000
76,8000000
77,9000000
76,6000000
81,23000000
78,10000000
76,8000000
72,2000000
80,20000000
72,2000000
76,6000000
76,10000000
82,18000000
74,5000000
79,13000000
72,3000000
82,21000000
79,11000000
84,29000000
82,28000000
79,12000000
76,9000000
75,9000000
81,24000000
74,5000000
82,25000000
79,12000000
73,3000000
74,4000000
71,2000000
78,8000000
76,10000000
83,21000000
71,1000000
76,9000000
79,9000000
77,12000000
73,1000000
75,7000000
74,4000000
76,8000000
81,21000000
81,18000000
78,14000000
82,26000000
83,27000000
76,11000000
80,17000000
79,12000000
78,7000000
74,6000000
74,3000000
75,8000000
78,11000000
76,9000000
72,4000000
84,46000000
73,3000000
77,9000000
74,7000000
77,12000000
74,6000000
75,6000000
73,4000000
80,10000000
81,14000000
77,6000000
84,31000000
78,14000000
75,5000000
73,3000000
75,8000000
75,6000000
73,4000000
74,6000000
72,2000000
81,18000000
74,5000000
75,5000000
78,15000000
76,6000000
78,11000000
73,4000000
84,42000000
74,4000000
81,17000000
74,4000000
81,7000000
78,12000000
84,31000000
80,14000000
74,4000000
74,6000000
72,2000000
78,9000000
82,13000000
75,7000000
85,17000000
76,5000000
83,31000000
72,2000000
76,10000000
75,6000000
75,8000000
83,33000000
80,14000000
78,12000000
78,4000000
79,13000000
75,7000000
79,10000000
81,22000000
77,9000000
73,4000000
81,6000000
74,6000000
76,7000000
78,8000000
76,7000000
78,13000000
85,34000000
73,3000000
79,13000000
84,19000000
86,59000000
74,8000000
78,10000000
74,4000000
78,12000000
77,9000000
80,20000000
79,10000000
70,1000000
73,1000000
72,2000000
76,8000000
75,6000000
75,8000000
74,4000000
75,6000000
74,6000000
74,4000000
76,8000000
76,9000000
75,7000000
78,10000000
80,20000000
74,4000000
79,11000000
80,14000000
85,49000000
76,10000000
89,58000000
75,9000000
76,5000000
74,6000000
76,7000000
75,6000000
76,5000000
75,6000000
81,19000000
75,7000000
70,2000000
74,1000000
74,7000000
74,8000000
77,12000000
80,15000000
74,2000000
76,5000000
73,3000000
84,11000000
73,4000000
73,4000000
76,5000000
75,7000000
76,7000000
80,11000000
80,10000000
77,8000000
74,6000000
73,3000000
79,17000000
73,3000000
78,10000000
77,9000000
77,7000000
79,12000000
74,4000000
71,2000000
75,7000000
83,41000000
75,7000000
82,17000000
76,8000000
71,2000000
73,4000000
79,13000000
78,11000000
76,7000000
77,8000000
80,20000000
74,6000000
73,3000000
79,10000000
75,8000000
80,19000000
72,3000000
74,6000000
77,8000000
71,900000
73,3000000
73,4000000
71,3000000
74,4000000
76,10000000
78,10000000
75,6000000
73,2000000
81,14000000
86,47000000
73,4000000
72,3000000
74,4000000
74,5000000
75,6000000
75,7000000
81,16000000
76,7000000
77,12000000
75,6000000
77,9000000
80,14000000
76,4000000
75,5000000
76,8000000
75,2000000
80,13000000
76,6000000
74,5000000
75,4000000
74,4000000
77,12000000
79,18000000
76,6000000
74,4000000
74,6000000
69,1000000
74,5000000
76,8000000
77,12000000
75,6000000
73,4000000
77,13000000
76,4000000
74,7000000
77,9000000
75,9000000
82,30000000
74,5000000
73,4000000
74,5000000
75,5000000
77,8000000
78,12000000
72,2000000
76,11000000
77,11000000
76,3000000
81,18000000
84,25000000
76,8000000
73,3000000
77,10000000
80,17000000
73,3000000
77,10000000
78,10000000
75,4000000
73,4000000
73,3000000
77,5000000
70,2000000
83,25000000
76,10000000
72,2000000
73,5000000
79,13000000
78,11000000
72,3000000
77,9000000
76,10000000
84,32000000
75,3000000
73,4000000
83,25000000
72,2000000
78,7000000
75,7000000
75,5000000
70,1000000
74,6000000
86,33000000
75,9000000
71,1000000
75,5000000
76,6000000
75,8000000
74,6000000
83,24000000
76,3000000
80,19000000
80,14000000
74,4000000
79,14000000
79,9000000
80,8000000
78,11000000
82,27000000
79,16000000
75,6000000
74,5000000
76,7000000
73,4000000
71,2000000
76,8000000
74,6000000
74,5000000
72,3000000
82,9000000
72,3000000
70,1000000
73,3000000
77,10000000
81,12000000
76,9000000
77,5000000
73,2000000
74,4000000
74,4000000
75,7000000
75,8000000
78,8000000
74,7000000
70,2000000
79,12000000
84,33000000
73,3000000
75,5000000
73,1000000
73,1000000
75,1000000
75,5000000
75,8000000
77,9000000
75,10000000
76,8000000
77,7000000
79,12000000
72,2000000
76,10000000
78,7000000
83,27000000
71,2000000
72,3000000
82,30000000
75,6000000
74,5000000
72,1000000
87,59000000
80,15000000
75,7000000
87,41000000
73,3000000
80,20000000
72,3000000
78,16000000
79,13000000
79,12000000
73,3000000
74,4000000
69,975000
71,2000000
75,6000000
79,17000000
70,1000000
74,6000000
75,6000000
74,3000000
75,5000000
75,6000000
71,1000000
77,10000000
71,1000000
77,9000000
72,4000000
77,8000000
76,10000000
76,7000000
73,5000000
78,10000000
75,7000000
75,4000000
73,2000000
75,6000000
75,7000000
79,16000000
74,7000000
74,7000000
75,5000000
73,5000000
73,3000000
76,8000000
79,5000000
85,40000000
79,9000000
78,13000000
79,18000000
72,1000000
72,3000000
72,3000000
74,3000000
76,6000000
75,9000000
69,1000000
75,2000000
76,7000000
74,9000000
76,6000000
73,3000000
73,5000000
70,1000000
76,8000000
77,7000000
70,1000000
87,37000000
76,4000000
78,13000000
75,5000000
69,1000000
77,7000000
77,6000000
73,2000000
75,5000000
73,4000000
79,5000000
73,2000000
76,6000000
75,5000000
72,2000000
81,8000000
72,4000000
76,8000000
78,12000000
76,13000000
70,1000000
75,9000000
77,7000000
81,19000000
82,33000000
75,7000000
74,6000000
77,10000000
71,2000000
74,7000000
73,875000
80,11000000
71,2000000
74,6000000
71,2000000
76,7000000
79,15000000
71,725000
71,2000000
74,4000000
78,13000000
78,13000000
77,10000000
70,2000000
77,3000000
77,10000000
75,4000000
83,40000000
70,1000000
71,2000000
75,6000000
74,4000000
72,2000000
75,7000000
72,2000000
81,18000000
75,2000000
74,5000000
76,10000000
73,4000000
74,8000000
80,16000000
74,6000000
74,4000000
76,9000000
80,15000000
76,10000000
67,725000
73,3000000
73,4000000
77,9000000
73,3000000
74,1000000
71,160000
75,10000000
72,2000000
73,4000000
71,3000000
73,5000000
84,9000000
81,24000000
90,77000000
78,10000000
82,22000000
73,4000000
73,4000000
73,4000000
74,4000000
77,8000000
77,9000000
79,17000000
71,2000000
69,400000
74,8000000
79,15000000
73,3000000
70,1000000
73,3000000
75,10000000
74,5000000
69,1000000
76,9000000
71,3000000
71,3000000
75,2000000
75,7000000
73,5000000
73,5000000
78,14000000
68,850000
72,2000000
74,5000000
77,7000000
72,3000000
77,10000000
72,3000000
77,12000000
72,2000000
76,5000000
70,2000000
72,2000000
71,1000000
73,3000000
71,1000000
71,1000000
75,6000000
72,2000000
75,6000000
72,3000000
74,6000000
77,8000000
71,3000000
76,7000000
69,1000000
75,9000000
75,4000000
71,2000000
71,2000000
73,5000000
75,9000000
75,4000000
68,500000
72,3000000
72,1000000
70,2000000
73,3000000
80,14000000
74,5000000
75,8000000
71,2000000
73,4000000
78,10000000
77,10000000
70,1000000
72,3000000
77,11000000
76,8000000
72,3000000
76,6000000
79,15000000
69,1000000
74,3000000
71,3000000
72,3000000
69,1000000
73,3000000
80,17000000
74,6000000
70,2000000
68,925000
73,2000000
73,4000000
76,11000000
76,10000000
75,5000000
74,7000000
73,275000
77,8000000
82,21000000
76,7000000
73,3000000
76,8000000
71,2000000
71,3000000
78,10000000
73,2000000
70,1000000
72,2000000
83,19000000
73,4000000
79,15000000
81,22000000
73,4000000
72,3000000
78,14000000
77,7000000
76,6000000
74,3000000
76,7000000
77,7000000
72,4000000
75,3000000
77,4000000
85,38000000
73,4000000
80,15000000
70,2000000
73,3000000
76,8000000
76,11000000
70,1000000
73,3000000
72,1000000
74,5000000
73,4000000
75,2000000
74,4000000
71,1000000
73,4000000
72,2000000
69,2000000
70,1000000
78,8000000
73,4000000
77,12000000
73,3000000
71,2000000
72,1000000
79,12000000
77,10000000
76,6000000
77,9000000
81,18000000
81,18000000
71,275000
80,19000000
70,1000000
71,3000000
70,1000000
72,3000000
73,3000000
81,18000000
76,7000000
73,6000000
85,19000000
72,4000000
73,3000000
74,6000000
72,1000000
73,6000000
79,12000000
76,7000000
74,7000000
75,5000000
78,10000000
77,9000000
70,1000000
73,5000000
73,3000000
76,7000000
71,2000000
72,2000000
70,1000000
76,10000000
71,2000000
75,4000000
74,5000000
76,8000000
77,13000000
71,1000000
72,3000000
72,4000000
75,12000000
70,1000000
76,10000000
75,6000000
75,7000000
76,10000000
79,9000000
75,4000000
83,15000000
78,8000000
80,18000000
75,5000000
74,8000000
69,1000000
74,4000000
75,775000
77,7000000
79,16000000
72,1000000
70,2000000
82,18000000
73,3000000
70,1000000
73,3000000
70,1000000
70,2000000
73,3000000
70,725000
79,12000000
82,28000000
71,1000000
72,2000000
75,7000000
79,13000000
82,28000000
75,10000000
71,2000000
76,5000000
69,500000
73,4000000
72,1000000
75,6000000
75,6000000
70,1000000
73,3000000
79,17000000
71,3000000
71,1000000
73,2000000
74,7000000
76,9000000
76,5000000
68,700000
80,14000000
72,2000000
74,5000000
72,1000000
83,26000000
78,8000000
74,7000000
80,15000000
72,5000000
76,3000000
75,10000000
82,21000000
76,10000000
80,17000000
75,9000000
78,12000000
73,1000000
80,14000000
70,1000000
69,575000
75,4000000
74,7000000
79,13000000
78,11000000
72,2000000
76,3000000
70,1000000
81,17000000
75,6000000
81,14000000
73,5000000
73,5000000
72,3000000
74,8000000
71,1000000
76,1000000
74,3000000
72,3000000
68,1000000
88,40000000
69,400000
72,3000000
72,1000000
75,5000000
78,10000000
72,3000000
75,6000000
76,10000000
69,1000000
70,1000000
77,9000000
71,1000000
75,9000000
72,3000000
70,1000000
75,9000000
71,2000000
71,1000000
79,10000000
77,8000000
71,2000000
74,6000000
73,3000000
70,1000000
75,7000000
71,2000000
72,2000000
78,12000000
76,8000000
74,4000000
70,2000000
77,13000000
72,1000000
73,4000000
72,4000000
72,2000000
74,5000000
73,4000000
78,13000000
72,5000000
82,27000000
73,5000000
73,4000000
73,4000000
74,5000000
73,4000000
72,3000000
76,9000000
73,4000000
72,3000000
71,1000000
75,2000000
73,3000000
71,900000
75,3000000
76,7000000
71,2000000
73,2000000
75,8000000
69,875000
71,2000000
81,25000000
70,1000000
69,975000
81,24000000
71,3000000
70,875000
71,3000000
75,6000000
81,18000000
71,2000000
79,12000000
85,30000000
71,1000000
75,6000000
77,7000000
75,3000000
70,1000000
73,4000000
77,9000000
71,3000000
73,2000000
76,9000000
74,8000000
67,650000
72,3000000
82,30000000
73,3000000
70,1000000
74,6000000
81,18000000
72,3000000
69,850000
70,725000
79,10000000
69,625000
74,3000000
71,1000000
69,1000000
73,5000000
78,7000000
71,2000000
77,13000000
75,6000000
69,875000
73,5000000
72,3000000
76,6000000
71,2000000
73,1000000
75,7000000
75,4000000
71,2000000
74,4000000
78,12000000
82,29000000
70,200000
73,4000000
74,4000000
73,2000000
73,3000000
69,900000
69,650000
76,11000000
76,8000000
78,12000000
75,4000000
70,1000000
68,600000
78,12000000
70,1000000
74,5000000
72,3000000
75,9000000
75,9000000
83,34000000
74,5000000
73,4000000
71,2000000
72,3000000
80,16000000
71,2000000
70,2000000
75,7000000
74,4000000
77,9000000
74,4000000
74,5000000
71,3000000
72,3000000
74,4000000
71,2000000
78,10000000
76,10000000
72,2000000
72,3000000
75,9000000
69,1000000
80,20000000
75,5000000
75,2000000
73,1000000
70,2000000
74,6000000
69,1000000
72,3000000
76,11000000
77,5000000
73,4000000
69,775000
72,2000000
71,1000000
80,18000000
82,15000000
68,1000000
72,3000000
74,4000000
74,4000000
68,725000
70,1000000
71,2000000
73,5000000
74,6000000
81,23000000
79,11000000
73,4000000
77,12000000
69,1000000
71,3000000
68,700000
80,13000000
73,4000000
68,1000000
73,4000000
73,4000000
73,4000000
78,10000000
75,8000000
78,10000000
72,2000000
70,1000000
87,51000000
73,3000000
79,13000000
83,28000000
78,10000000
76,9000000
71,1000000
79,11000000
71,3000000
74,5000000
74,4000000
76,11000000
75,5000000
70,1000000
70,1000000
74,3000000
79,13000000
66,700000
76,6000000
74,5000000
76,8000000
67,650000
72,3000000
72,3000000
73,4000000
72,1000000
75,5000000
72,4000000
76,9000000
71,2000000
78,11000000
70,1000000
76,7000000
79,13000000
69,900000
79,15000000
72,3000000
80,19000000
77,8000000
73,3000000
67,450000
69,1000000
77,9000000
69,500000
72,3000000
72,2000000
71,3000000
72,2000000
75,5000000
77,9000000
71,1000000
79,12000000
70,1000000
73,5000000
71,2000000
67,800000
67,550000
75,2000000
75,6000000
87,66000000
69,825000
73,3000000
75,4000000
67,550000
76,3000000
79,13000000
76,11000000
72,2000000
73,4000000
71,1000000
76,7000000
72,3000000
73,2000000
73,5000000
76,11000000
71,2000000
80,18000000
78,10000000
72,4000000
74,6000000
68,1000000
74,5000000
72,3000000
73,3000000
70,1000000
70,1000000
73,3000000
68,925000
71,2000000
74,7000000
68,750000
74,5000000
70,1000000
75,8000000
71,2000000
76,10000000
69,800000
79,18000000
70,1000000
85,26000000
79,18000000
81,24000000
74,6000000
71,2000000
75,8000000
79,3000000
76,3000000
73,5000000
73,3000000
73,3000000
80,15000000
77,10000000
76,9000000
72,2000000
75,5000000
76,11000000
75,7000000
70,2000000
73,4000000
72,2000000
73,1000000
68,925000
75,7000000
72,3000000
75,5000000
71,2000000
75,9000000
76,10000000
72,2000000
72,2000000
73,3000000
74,7000000
71,2000000
71,600000
83,29000000
67,725000
79,10000000
73,4000000
76,10000000
69,1000000
76,8000000
73,2000000
79,5000000
72,2000000
76,9000000
77,11000000
66,650000
72,4000000
70,2000000
72,2000000
74,5000000
68,1000000
73,3000000
76,12000000
73,2000000
69,825000
70,1000000
78,13000000
72,1000000
72,2000000
69,875000
68,400000
71,1000000
67,875000
70,2000000
72,2000000
70,2000000
75,900000
79,12000000
75,8000000
69,650000
76,6000000
73,3000000
72,2000000
72,3000000
70,2000000
70,1000000
75,7000000
78,13000000
70,1000000
67,550000
73,1000000
63,80000
71,1000000
69,1000000
68,925000
73,4000000
76,11000000
74,4000000
72,2000000
73,3000000
80,8000000
76,8000000
75,9000000
69,700000
75,3000000
70,1000000
72,4000000
67,375000
70,1000000
72,5000000
69,800000
70,1000000
72,3000000
66,700000
77,11000000
72,3000000
76,5000000
79,13000000
71,3000000
75,2000000
72,4000000
72,2000000
71,1000000
73,2000000
69,575000
73,5000000
70,475000
77,10000000
75,7000000
71,1000000
77,12000000
74,6000000
72,3000000
66,600000
70,1000000
70,1000000
72,2000000
72,2000000
72,1000000
70,1000000
71,1000000
71,2000000
74,4000000
70,375000
71,3000000
75,9000000
73,4000000
72,3000000
71,2000000
68,925000
74,5000000
73,4000000
67,575000
76,12000000
75,9000000
77,9000000
75,6000000
74,6000000
77,12000000
73,5000000
71,2000000
70,1000000
73,4000000
80,13000000
75,6000000
77,11000000
77,5000000
74,4000000
76,6000000
72,3000000
72,3000000
77,11000000
68,950000
72,3000000
74,5000000
69,1000000
72,3000000
76,9000000
78,9000000
72,2000000
72,2000000
74,5000000
71,2000000
74,6000000
75,4000000
75,9000000
77,7000000
70,2000000
81,6000000
76,9000000
76,8000000
74,6000000
75,4000000
69,1000000
74,3000000
78,12000000
72,1000000
72,2000000
68,675000
70,1000000
69,1000000
69,775000
72,4000000
74,8000000
75,8000000
70,2000000
69,700000
75,7000000
71,1000000
75,7000000
72,4000000
75,6000000
69,500000
75,9000000
72,3000000
72,4000000
76,7000000
70,1000000
70,2000000
74,4000000
73,5000000
73,3000000
77,10000000
74,5000000
72,2000000
73,2000000
70,675000
76,6000000
68,850000
69,1000000
71,3000000
68,675000
70,1000000
72,4000000
74,7000000
77,9000000
72,3000000
77,10000000
76,11000000
70,1000000
68,575000
70,1000000
75,10000000
69,1000000
78,14000000
80,17000000
71,2000000
71,3000000
78,11000000
71,2000000
74,3000000
68,1000000
76,10000000
68,1000000
75,8000000
76,7000000
77,5000000
70,900000
72,3000000
74,6000000
77,6000000
73,5000000
70,1000000
74,7000000
73,450000
72,2000000
72,4000000
72,3000000
72,2000000
72,2000000
74,4000000
72,6000000
68,900000
71,1000000
67,900000
70,2000000
67,450000
72,3000000
72,2000000
70,1000000
70,2000000
77,11000000
72,3000000
68,850000
65,500000
71,1000000
66,600000
70,1000000
70,2000000
73,5000000
68,1000000
79,11000000
73,3000000
74,8000000
71,4000000
66,725000
71,2000000
70,2000000
77,8000000
80,14000000
66,875000
75,6000000
78,6000000
69,1000000
75,7000000
82,29000000
70,1000000
69,650000
71,2000000
76,4000000
71,2000000
71,2000000
71,3000000
70,3000000
73,1000000
68,525000
67,750000
83,26000000
72,1000000
69,1000000
73,5000000
72,5000000
72,2000000
71,3000000
75,9000000
71,2000000
69,1000000
72,3000000
72,1000000
67,600000
68,1000000
71,2000000
75,3000000
76,10000000
67,775000
68,750000
71,950000
77,13000000
85,34000000
70,2000000
72,3000000
71,1000000
74,4000000
65,575000
68,700000
72,4000000
84,35000000
72,3000000
73,3000000
71,1000000
71,1000000
69,850000
71,2000000
70,1000000
77,9000000
74,6000000
70,1000000
72,3000000
65,400000
75,5000000
80,12000000
77,11000000
70,750000
70,1000000
69,800000
76,8000000
68,1000000
67,825000
72,4000000
72,2000000
70,2000000
80,13000000
69,1000000
68,350000
75,7000000
67,875000
70,1000000
64,50000
74,5000000
73,6000000
72,2000000
71,2000000
77,4000000
69,1000000
69,1000000
71,3000000
70,1000000
84,35000000
72,4000000
78,12000000
75,9000000
75,6000000
69,1000000
72,2000000
70,2000000
71,275000
75,5000000
68,675000
76,8000000
70,2000000
66,525000
74,6000000
71,2000000
75,8000000
69,825000
73,4000000
74,5000000
67,1000000
76,7000000
70,2000000
79,16000000
73,3000000
72,3000000
71,1000000
78,15000000
70,3000000
69,1000000
74,4000000
70,3000000
71,2000000
71,4000000
74,7000000
71,2000000
68,1000000
66,475000
68,1000000
74,8000000
68,775000
72,3000000
67,600000
69,650000
69,1000000
76,9000000
71,2000000
73,4000000
75,9000000
77,4000000
73,3000000
73,3000000
67,1000000
74,11000000
72,975000
80,17000000
76,10000000
75,3000000
71,2000000
74,7000000
76,10000000
74,4000000
73,5000000
73,4000000
69,500000
69,700000
68,900000
76,7000000
76,3000000
75,2000000
67,725000
69,500000
85,46000000
81,22000000
73,5000000
76,8000000
70,2000000
68,1000000
72,3000000
67,525000
70,1000000
68,525000
73,3000000
73,4000000
73,1000000
74,5000000
73,4000000
68,850000
76,8000000
72,3000000
69,1000000
75,6000000
71,2000000
82,30000000
69,1000000
75,9000000
70,1000000
71,2000000
67,1000000
68,500000
85,22000000
69,1000000
78,12000000
69,800000
69,800000
70,2000000
72,4000000
75,6000000
77,7000000
74,7000000
75,6000000
72,3000000
79,9000000
69,900000
67,750000
79,12000000
72,2000000
76,6000000
76,7000000
72,4000000
68,375000
75,9000000
68,675000
69,1000000
72,4000000
70,2000000
65,375000
69,1000000
70,2000000
68,1000000
66,600000
75,6000000
73,4000000
74,5000000
73,5000000
71,2000000
71,3000000
70,1000000
70,1000000
75,5000000
84,41000000
74,5000000
82,22000000
71,2000000
73,6000000
74,5000000
73,3000000
79,12000000
71,950000
73,1000000
71,3000000
68,775000
77,6000000
70,1000000
72,2000000
70,2000000
64,100000
65,275000
74,6000000
69,575000
74,6000000
67,775000
80,16000000
73,3000000
75,6000000
68,775000
71,2000000
69,1000000
79,14000000
75,4000000
78,11000000
72,3000000
74,5000000
69,875000
75,7000000
76,7000000
71,2000000
68,1000000
73,4000000
77,10000000
73,3000000
68,850000
73,4000000
70,1000000
70,3000000
75,8000000
75,6000000
74,3000000
73,450000
72,3000000
72,4000000
70,2000000
69,1000000
69,1000000
72,4000000
75,7000000
70,1000000
70,575000
73,3000000
73,5000000
73,4000000
66,550000
76,9000000
72,3000000
79,10000000
72,3000000
72,3000000
74,4000000
64,475000
71,1000000
72,4000000
73,4000000
73,3000000
74,6000000
79,19000000
68,1000000
68,850000
78,13000000
74,5000000
66,475000
66,625000
70,1000000
72,3000000
68,850000
71,2000000
67,575000
69,1000000
75,12000000
76,7000000
69,1000000
70,1000000
76,7000000
70,1000000
76,10000000
74,4000000
71,2000000
73,1000000
75,6000000
72,4000000
71,2000000
71,1000000
75,11000000
67,750000
68,725000
79,15000000
