Special,Value,Age,Overall
2321,97000000,30,92
2286,42000000,29,86
2267,21000000,26,82
2263,38000000,25,85
2262,76000000,24,88
2260,62000000,27,88
2253,33000000,30,86
2234,104000000,26,91
2231,40000000,28,87
2231,11000000,31,81
2231,57000000,31,89
2228,95000000,32,94
2226,25000000,28,83
2225,24000000,24,82
2218,34000000,22,83
2214,38000000,29,87
2212,26000000,27,83
2207,42000000,26,86
2205,30000000,29,84
2204,7000000,34,83
2201,23000000,27,82
2199,30000000,22,82
2196,22000000,32,85
2194,28000000,30,85
2194,60000000,28,88
2193,12000000,29,79
2193,20000000,30,82
2192,17000000,31,83
2190,45000000,27,86
2189,79000000,27,90
2189,68000000,26,88
2188,16000000,30,81
2187,8000000,32,80
2184,48000000,29,87
2184,15000000,24,80
2182,24000000,22,81
2182,26000000,27,83
2180,25000000,27,84
2179,23000000,25,82
2179,23000000,24,81
2179,26000000,31,84
2178,33000000,22,84
2178,35000000,21,83
2178,10000000,28,79
2177,5000000,28,75
2177,16000000,23,80
2176,17000000,27,81
2173,21000000,26,82
2168,11000000,30,79
2167,25000000,26,82
2166,59000000,26,88
2163,48000000,25,85
2161,118000000,30,94
2159,15000000,31,81
2159,47000000,25,86
2158,18000000,25,81
2157,18000000,28,81
2157,22000000,28,82
2156,63000000,24,87
2155,29000000,30,84
2155,5000000,32,78
2154,35000000,22,83
2154,52000000,31,90
2153,71000000,26,88
2153,29000000,31,86
2152,8000000,30,77
2151,92000000,28,91
2150,14000000,22,78
2150,13000000,32,81
2149,43000000,22,84
2149,28000000,22,82
2147,17000000,28,81
2146,47000000,25,85
2146,31000000,28,85
2145,14000000,30,80
2144,25000000,29,83
2144,12000000,29,79
2144,14000000,32,83
2144,19000000,23,80
2142,26000000,27,83
2141,19000000,24,80
2140,39000000,28,85
2139,9000000,30,79
2139,27000000,25,82
2138,44000000,26,85
2138,10000000,27,79
2138,12000000,31,80
2137,18000000,27,81
2136,8000000,31,79
2136,63000000,25,87
2135,31000000,28,84
2134,27000000,25,82
2134,13000000,25,78
